SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
1,3.3,7.44,1.52,3.27,0.07,2.14,0.75,0.66,0,54.8,49.7,50.7,6.55,4.09,4.26,0.01,0,24.7,2.7,1.6,V1
2,3.43,7.63,1.63,3.27,0.05,2.01,0.74,0.65,0,51.8,47.3,47.9,8.35,5.08,5.01,0.01,0,23.3,2.3,1.8,V1
3,3.41,7.32,1.52,3.18,0.07,2.09,0.8,0.7,0,54,50.5,54.4,9.27,6.85,7.14,0.19,0.06,25,2.5,-0.9,V1
4,3.78,7.85,1.69,3.35,0.03,1.98,0.77,0.67,0,57.7,47.2,48.9,10.26,5.96,5.47,0.05,0.01,24.1,5.6,2.1,V1
5,3.9,7.99,1.61,3.43,0.02,2.14,0.77,0.71,0,59.1,54.1,54.1,8.19,5.81,4.72,0.64,0.16,26.8,2.5,2.1,V1
6,2.41,6.54,1.2,2.94,0.05,2.45,0.71,0.69,0,47.2,43.9,44.5,9.39,6.1,6.07,0.02,0.01,21.3,1.6,1.7,V1
7,3.66,7.75,1.84,3.08,0.06,1.67,0.77,0.65,0,48.7,46.8,48.4,7.78,5.57,5.56,0.01,0,22.7,1.1,0.6,V1
8,3.73,7.8,1.7,3.22,0.06,1.89,0.77,0.68,0,60.7,52.1,52.8,12.96,6.88,6.5,0.38,0.1,26.3,4.5,2.3,V1
9,3.68,7.61,1.61,3.27,0.05,2.03,0.8,0.7,0,59.7,53,53.1,6.95,4.68,4.66,0.33,0.09,26.5,3.4,2.4,V1
10,3.4,7.49,1.52,3.27,0.04,2.14,0.76,0.68,0,61.2,52.1,54.1,9.25,6.7,7.2,0.39,0.11,26.5,4.9,1.5,V1
11,3.16,7.1,1.44,3.12,0.07,2.17,0.79,0.71,0,60.4,53.2,52,13.16,9.29,8.47,0.7,0.22,26.6,3.4,3.5,V1
